Word,Year,Type
Automobile,1900,Technology
Wireless,1900,Technology
Automobiles,1900,Technology
Ionization,1900,Science
Radium,1900,Science
Electrons,1900,Science
Bolsheviki,1910,History
Salvarsan,1910,History
Bolshevism,1910,History
Boches,1910,History
Kerensky,1910,History
Bombing,1910,History
Pacifist,1910,History
Petrograd,1910,History
Bacteriophage ,1920,Medical
Insulin,1920,Medical
Vitamin,1920,Medical
Vitamins,1920,Medical
Fascist,1920,History
Mussolini,1920,History
Fascism,1920,History
Latvia,1920,History
Czechoslovakia,1920,History
Iraq,1920,History
Kenya,1920,History
Slovakia,1920,History
Gandhi,1920,History
Automotive,1920,Technology
Hitler,1930,History
Dollfuss,1930,History
Goebbels,1930,History
Manchukuo,1930,History
Rearmament,1930,History
Nazis,1930,History
Nazis,1930,History
NRA,1930,History
Totalitarian,1930,History
Stalin,1930,History
Kulaks,1930,History
Reichswehr,1930,History
USSR,1930,History
Plutonium,1940,Science
Streptomycin,1940,Science
Gaulle,1940,Science
Penicillin,1940,Science
Thiamine,1940,Science
Sulfathiazole,1940,Science
Bandwidth,1940,Technology
Jeep,1940,Technology
Jeeps,1940,Technology
Radar,1940,Technology
Transistors,1950,Technology
Transistors,1950,Technology
Automation,1950,Technology
Semiconductors,1950,Technology
Terramycin,1950,Science
Chloramphenicol,1950,Science
Cortisone,1950,Science
DNA,1950,Science
RNA,1950,Science
Khrushchev,1950,Science
Vietnam,1950,History
Vietnamese,1950,History
Rajasthan,1950,History
Pradesh,1950,History
Minh,1950,History
IEEE,1960,Technology
Aerospace,1960,Technology
Astronaut,1960,Technology
Software,1960,Technology
Programmed,1960,Technology
Spacecraft,1960,Technology
Tshombe,1960,History
Bhupesh,1960,History
Vietcong,1960,History
Medicare,1960,History
Zambia,1960,History
Tanzania,1960,History
Autoimmune,1960,Medical
Sexist,1970,Miscellaneous
Sexism,1970,Miscellaneous
Lifestyle,1970,Miscellaneous
Namibia,1970,History
Bangladesh,1970,History
Jovanovich,1970,History
Watergate,1970,History
Medicaid,1970,History
Immunotherapy,1970,Medical
Prostaglandin,1970,Science
Getamicin,1970,Medical
Radioimmunoassay,1970,Medical
Ophthalmol,1970,Science
Cytosol,1970,Medical
HTLV,1980,Medical
Spreadsheet,1980,Technology
VLSI,1980,Technology
Videotex,1980,Technology
UNIX,1980,Technology
Microsoft,1980,Technology
Robotics,1980,Technology
Workstation,1980,Technology
Workstations,1980,Technology
ISDN,1980,Technology
FSLN,1980,History
IFN,1980,Science
Netscape,1990,Technology
Cyberspace,1990,Technology
HTML,1990,Technology
Toolbar,1990,Technology
MPEG,1990,Technology
Applet,1990,Technology
Reengineering,1990,Technology
HTTP,1990,Technology
C++,1990,Technology
Internet,1990,Technology
URL,1990,Technology
Netware,1990,Technology
Biodiversity,1990,Science
Usenet,1990,Technology
Integrin,1990,Science
Globalistion,1990,History
ITunes,2000,Technology
ASPX,2000,Technology
WSDL,2000,Technology
XSLT,2000,Technology
Actionscript,2000,Technology
XPATH,2000,Technology
Sharepoint,2000,Technology
Blogs,2000,Technology
Ipod,2000,Technology
XHTML,2000,Technology
RFID,2000,Technology
Blogs,2000,Technology
Google,2000,Technology
Writeline,2000,Technology
Bluetooth,2000,Technology
Voip,2000,Technology
Microarray,2000,Technology
Mysql,2000,Technology
Microarrays,2000,Technology
Dreamweaver,2000,Technology
XML,2000,Technology
DVDS,2000,Technology
Qaeda,2000,History
Osama,2000,History
Putin,2000,History
