word	year	occurences	books
Airscrew	1834	1	1
Airscrew	1915	4	4
Airscrew	1917	29	6
Airscrew	1918	34	9
Airscrew	1919	4	2
Airscrew	1920	1041	25
Airscrew	1921	1	1
Airscrew	1922	14	5
Airscrew	1923	9	5
Airscrew	1924	11	6
Airscrew	1925	14	2
Airscrew	1926	14	6
Airscrew	1927	18	7
Airscrew	1928	14	6
Airscrew	1929	15	4
Airscrew	1930	81	9
Airscrew	1931	28	6
Airscrew	1932	34	11
Airscrew	1933	17	5
Airscrew	1934	45	11
Airscrew	1935	44	14
Airscrew	1936	89	17
Airscrew	1937	37	12
Airscrew	1938	30	6
Airscrew	1939	193	17
Airscrew	1940	209	27
Airscrew	1941	270	38
Airscrew	1942	183	25
Airscrew	1943	121	28
Airscrew	1944	61	27
Airscrew	1945	84	22
Airscrew	1946	37	25
Airscrew	1947	190	32
Airscrew	1948	94	17
Airscrew	1949	37	17
Airscrew	1950	54	21
Airscrew	1951	45	15
Airscrew	1952	58	27
Airscrew	1953	37	19
Airscrew	1954	13	11
Airscrew	1955	27	10
Airscrew	1956	106	22
Airscrew	1957	21	10
Airscrew	1958	40	13
Airscrew	1959	55	20
Airscrew	1960	17	10
Airscrew	1961	35	22
Airscrew	1962	26	17
Airscrew	1963	134	17
Airscrew	1964	32	11
Airscrew	1965	44	21
Airscrew	1966	38	20
Airscrew	1967	28	17
Airscrew	1968	35	15
Airscrew	1969	7	7
Airscrew	1970	33	18
Airscrew	1971	14	12
Airscrew	1972	12	10
Airscrew	1973	36	15
Airscrew	1974	35	21
Airscrew	1975	58	30
Airscrew	1976	78	20
Airscrew	1977	23	13
Airscrew	1978	29	25
Airscrew	1979	40	20
Airscrew	1980	56	25
Airscrew	1981	16	13
Airscrew	1982	31	18
Airscrew	1983	20	17
Airscrew	1984	20	12
Airscrew	1985	31	16
Airscrew	1986	25	12
Airscrew	1987	14	8
Airscrew	1988	28	17
Airscrew	1989	17	10
Airscrew	1990	17	14
Airscrew	1991	20	13
Airscrew	1992	14	11
Airscrew	1993	16	9
Airscrew	1994	31	15
Airscrew	1995	16	9
Airscrew	1996	16	9
Airscrew	1997	17	14
Airscrew	1998	20	15
Airscrew	1999	18	11
Airscrew	2000	14	9
Airscrew	2001	9	6
Airscrew	2002	40	20
Airscrew	2003	18	18
Airscrew	2004	16	12
Airscrew	2005	40	17
Airscrew	2006	37	16
Airscrew	2007	14	10
Airscrew	2008	78	18
Automotive	1600	1	1
Automotive	1746	1	1
Automotive	1854	1	1
Automotive	1873	1	1
Automotive	1881	1	1
Automotive	1885	6	2
Automotive	1893	53	5
Automotive	1895	1	1
Automotive	1898	1	1
Automotive	1900	3	3
Automotive	1901	8	3
Automotive	1906	5	2
Automotive	1907	1	1
Automotive	1911	13	5
Automotive	1912	1	1
Automotive	1913	1	1
Automotive	1914	1	1
Automotive	1915	1	1
Automotive	1916	4	3
Automotive	1917	30	28
Automotive	1918	176	67
Automotive	1919	403	82
Automotive	1920	444	99
Automotive	1921	862	135
Automotive	1922	501	140
Automotive	1923	505	115
Automotive	1924	539	117
Automotive	1925	1004	170
Automotive	1926	571	166
Automotive	1927	602	172
Automotive	1928	625	156
Automotive	1929	601	181
Automotive	1930	880	181
Automotive	1931	767	212
Automotive	1932	658	189
Automotive	1933	473	157
Automotive	1934	580	167
Automotive	1935	558	199
Automotive	1936	784	239
Automotive	1937	747	227
Automotive	1938	826	237
Automotive	1939	850	280
Automotive	1940	1160	283
Automotive	1941	1431	293
Automotive	1942	1427	304
Automotive	1943	1003	304
Automotive	1944	1078	247
Automotive	1945	1029	274
Automotive	1946	1179	334
Automotive	1947	1411	376
Automotive	1948	1614	384
Automotive	1949	1747	434
Automotive	1950	2056	442
Automotive	1951	2164	442
Automotive	1952	1648	357
Automotive	1953	1343	361
Automotive	1954	2427	431
Automotive	1955	2138	467
Automotive	1956	1606	414
Automotive	1957	1633	436
Automotive	1958	1422	409
Automotive	1959	2477	521
Automotive	1960	2216	477
Automotive	1961	1889	502
Automotive	1962	1896	579
Automotive	1963	2553	638
Automotive	1964	1975	623
Automotive	1965	2157	604
Automotive	1966	2743	653
Automotive	1967	2964	807
Automotive	1968	2736	824
Automotive	1969	2765	779
Automotive	1970	3810	868
Automotive	1971	5083	993
Automotive	1972	4303	1024
Automotive	1973	3915	1109
Automotive	1974	4018	1039
Automotive	1975	4138	1127
Automotive	1976	5728	1175
Automotive	1977	4252	1112
Automotive	1978	5092	1087
Automotive	1979	5115	1236
Automotive	1980	4615	1414
Automotive	1981	6565	1289
Automotive	1982	5782	1371
Automotive	1983	5896	1455
Automotive	1984	6242	1612
Automotive	1985	6274	1601
Automotive	1986	7063	1634
Automotive	1987	9977	1658
Automotive	1988	7876	1845
Automotive	1989	8015	1990
Automotive	1990	9872	2216
Automotive	1991	9527	2076
Automotive	1992	11759	2420
Automotive	1993	12215	2330
Automotive	1994	12737	2585
Automotive	1995	12614	2592
Automotive	1996	11849	2426
Automotive	1997	10509	2591
Automotive	1998	13304	2692
Automotive	1999	13496	2903
Automotive	2000	13712	3095
Automotive	2001	17221	3311
Automotive	2002	15408	3524
Automotive	2003	16944	3815
Automotive	2004	17319	3808
Automotive	2005	17815	3953
Automotive	2006	16706	3917
Automotive	2007	15988	3881
Automotive	2008	14913	3543
Angry	1563	1	1
Angry	1590	2	2
Angry	1592	1	1
Angry	1607	1	1
Angry	1625	6	1
Angry	1635	2	2
Angry	1638	1	1
Angry	1644	2	1
Angry	1645	1	1
Angry	1651	2	2
Angry	1673	1	1
Angry	1676	1	1
Angry	1680	3	1
Angry	1681	2	2
Angry	1682	1	1
Angry	1683	2	2
Angry	1684	2	2
Angry	1685	2	2
Angry	1686	2	1
Angry	1689	2	2
Angry	1690	2	2
Angry	1692	12	4
Angry	1693	3	3
Angry	1694	9	4
Angry	1695	5	4
Angry	1696	3	3
Angry	1697	2	1
Angry	1698	6	4
Angry	1699	2	2
Angry	1700	12	8
Angry	1701	14	10
Angry	1702	21	6
Angry	1703	11	8
Angry	1704	13	11
Angry	1705	15	11
Angry	1706	19	13
Angry	1707	12	9
Angry	1708	15	5
Angry	1709	19	12
Angry	1710	25	15
Angry	1711	12	9
Angry	1712	14	10
Angry	1713	19	11
Angry	1714	14	12
Angry	1715	17	6
Angry	1716	7	6
Angry	1717	5	5
Angry	1718	60	4
Angry	1719	6	6
Angry	1720	29	14
Angry	1721	3	2
Angry	1722	14	9
Angry	1723	5	3
Angry	1724	32	12
Angry	1725	8	4
Angry	1726	9	9
Angry	1727	9	8
Angry	1728	17	5
Angry	1729	11	9
Angry	1730	6	6
Angry	1731	11	6
Angry	1732	16	11
Angry	1733	4	3
Angry	1734	26	11
Angry	1735	4	2
Angry	1736	2	2
Angry	1737	9	6
Angry	1738	34	8
Angry	1739	4	3
Angry	1740	13	6
Angry	1741	6	5
Angry	1742	8	5
Angry	1743	1	1
Angry	1744	11	10
Angry	1745	6	4
Angry	1746	6	1
Angry	1747	6	5
Angry	1748	3	3
Angry	1750	2	2
Angry	1751	6	6
Angry	1752	1	1
Angry	1753	3	3
Angry	1754	15	4
Angry	1756	6	6
Angry	1758	4	4
Angry	1760	3	3
Angry	1761	3	3
Angry	1762	4	4
Angry	1763	1	1
Angry	1764	2	2
Angry	1765	3	2
Angry	1766	5	3
Angry	1767	2	2
Angry	1768	2	2
Angry	1770	1	1
Angry	1771	3	3
Angry	1774	3	3
Angry	1775	4	2
Angry	1777	1	1
Angry	1778	3	3
Angry	1779	2	1
Angry	1781	1	1
Angry	1782	12	10
Angry	1783	6	2
Angry	1784	5	5
Angry	1785	4	3
Angry	1786	5	3
Angry	1787	2	2
Angry	1788	12	10
Angry	1789	7	6
Angry	1790	4	4
Angry	1791	15	14
Angry	1792	10	8
Angry	1793	5	3
Angry	1794	17	15
Angry	1795	8	8
Angry	1796	17	17
Angry	1797	3	3
Angry	1798	10	7
Angry	1799	6	6
Angry	1800	17	16
Angry	1801	13	11
Angry	1802	8	7
Angry	1803	12	11
Angry	1804	21	15
Angry	1805	21	8
Angry	1806	27	24
Angry	1807	29	28
Angry	1808	23	23
Angry	1809	24	24
Angry	1810	19	16
Angry	1811	26	24
Angry	1812	23	17
Angry	1813	27	23
Angry	1814	45	37
Angry	1815	28	27
Angry	1816	33	28
Angry	1817	24	22
Angry	1818	43	32
Angry	1819	23	20
Angry	1820	26	25
Angry	1821	40	34
Angry	1822	55	41
Angry	1823	75	62
Angry	1824	44	34
Angry	1825	59	45
Angry	1826	54	40
Angry	1827	72	52
Angry	1828	49	42
Angry	1829	30	28
Angry	1830	43	42
Angry	1831	43	35
Angry	1832	59	51
Angry	1833	72	68
Angry	1834	41	39
Angry	1835	71	61
Angry	1836	78	55
Angry	1837	49	49
Angry	1838	65	58
Angry	1839	92	83
Angry	1840	63	53
Angry	1841	122	79
Angry	1842	54	47
Angry	1843	69	59
Angry	1844	264	97
Angry	1845	86	78
Angry	1846	165	130
Angry	1847	125	107
Angry	1848	139	115
Angry	1849	114	94
Angry	1850	137	114
Angry	1851	130	110
Angry	1852	171	146
Angry	1853	193	154
Angry	1854	180	138
Angry	1855	165	145
Angry	1856	192	171
Angry	1857	149	140
Angry	1858	150	134
Angry	1859	176	140
Angry	1860	254	211
Angry	1861	164	126
Angry	1862	114	98
Angry	1863	108	95
Angry	1864	166	145
Angry	1865	150	128
Angry	1866	207	181
Angry	1867	215	166
Angry	1868	168	144
Angry	1869	206	157
Angry	1870	169	141
Angry	1871	161	136
Angry	1872	136	124
Angry	1873	178	160
Angry	1874	207	163
Angry	1875	253	208
Angry	1876	200	182
Angry	1877	241	205
Angry	1878	227	180
Angry	1879	224	198
Angry	1880	266	233
Angry	1881	222	198
Angry	1882	304	265
Angry	1883	323	284
Angry	1884	298	252
Angry	1885	350	289
Angry	1886	298	213
Angry	1887	303	261
Angry	1888	271	244
Angry	1889	231	205
Angry	1890	289	237
Angry	1891	303	250
Angry	1892	277	244
Angry	1893	201	181
Angry	1894	302	249
Angry	1895	306	241
Angry	1896	707	301
Angry	1897	414	335
Angry	1898	376	317
Angry	1899	528	450
Angry	1900	549	392
Angry	1901	475	392
Angry	1902	475	400
Angry	1903	418	368
Angry	1904	596	458
Angry	1905	478	396
Angry	1906	474	338
Angry	1907	461	377
Angry	1908	471	336
Angry	1909	503	367
Angry	1910	502	416
Angry	1911	484	352
Angry	1912	487	395
Angry	1913	423	339
Angry	1914	480	351
Angry	1915	346	263
Angry	1916	367	284
Angry	1917	385	295
Angry	1918	342	265
Angry	1919	366	299
Angry	1920	462	348
Angry	1921	441	330
Angry	1922	465	325
Angry	1923	373	306
Angry	1924	373	289
Angry	1925	446	297
Angry	1926	416	279
Angry	1927	440	331
Angry	1928	399	325
Angry	1929	440	321
Angry	1930	445	358
Angry	1931	419	344
Angry	1932	380	305
Angry	1933	310	245
Angry	1934	776	296
Angry	1935	386	274
Angry	1936	375	322
Angry	1937	485	375
Angry	1938	415	319
Angry	1939	449	331
Angry	1940	479	346
Angry	1941	368	247
Angry	1942	341	242
Angry	1943	305	237
Angry	1944	342	252
Angry	1945	359	267
Angry	1946	427	307
Angry	1947	487	394
Angry	1948	536	395
Angry	1949	557	406
Angry	1950	641	477
Angry	1951	579	444
Angry	1952	670	470
Angry	1953	557	448
Angry	1954	657	498
Angry	1955	702	522
Angry	1956	797	517
Angry	1957	954	654
Angry	1958	1013	615
Angry	1959	1031	677
Angry	1960	1364	837
Angry	1961	1513	947
Angry	1962	1456	973
Angry	1963	2048	1098
Angry	1964	1839	1079
Angry	1965	1842	1165
Angry	1966	2036	1242
Angry	1967	2185	1368
Angry	1968	2318	1482
Angry	1969	2265	1524
Angry	1970	2441	1653
Angry	1971	2790	1655
Angry	1972	2721	1768
Angry	1973	2625	1621
Angry	1974	2676	1730
Angry	1975	2613	1610
Angry	1976	2685	1768
Angry	1977	3099	1900
Angry	1978	2876	1851
Angry	1979	3095	1935
Angry	1980	4058	2109
Angry	1981	3598	2190
Angry	1982	4341	2324
Angry	1983	3774	2364
Angry	1984	4226	2530
Angry	1985	4242	2554
Angry	1986	4840	2917
Angry	1987	4768	3029
Angry	1988	5286	3258
Angry	1989	5632	3488
Angry	1990	5967	3851
Angry	1991	6591	3938
Angry	1992	7092	4377
Angry	1993	7634	4474
Angry	1994	8059	4932
Angry	1995	8179	4851
Angry	1996	8760	5246
Angry	1997	9664	5563
Angry	1998	9397	5655
Angry	1999	10187	6105
Angry	2000	12009	7231
Angry	2001	12230	7281
Angry	2002	14192	8205
Angry	2003	15341	9064
Angry	2004	16193	9626
Angry	2005	17049	9605
Angry	2006	17120	9797
Angry	2007	17359	9969
Angry	2008	18418	11878
ASPX	1936	1	1
